iter	Passed	Remaining
0	3	3353
1	4	2395
2	6	2037
3	7	1883
4	8	1761
5	10	1718
6	11	1660
7	13	1623
8	14	1588
9	15	1557
10	17	1532
11	18	1510
12	19	1499
13	21	1490
14	22	1482
15	23	1470
16	25	1464
17	26	1451
18	28	1446
19	29	1447
20	30	1441
21	32	1437
22	33	1431
23	35	1424
24	36	1422
25	37	1414
26	38	1399
27	40	1402
28	41	1399
29	43	1402
30	44	1398
31	45	1388
32	47	1388
33	48	1392
34	50	1389
35	51	1386
36	53	1380
37	54	1376
38	55	1378
39	57	1377
40	58	1378
41	60	1374
42	61	1368
43	62	1362
44	64	1360
45	65	1359
46	66	1357
47	68	1356
48	69	1352
49	70	1347
50	72	1340
51	73	1341
52	74	1339
53	76	1337
54	77	1335
55	79	1332
56	80	1328
57	82	1332
58	83	1333
59	84	1330
60	86	1327
61	87	1327
62	89	1325
63	90	1323
64	91	1322
65	93	1319
66	94	1315
67	95	1311
68	97	1311
69	98	1309
70	99	1306
71	101	1306
72	102	1306
73	104	1305
74	105	1303
75	106	1300
76	108	1297
77	109	1296
78	110	1293
79	112	1295
80	114	1293
81	115	1291
82	116	1289
83	117	1286
84	119	1282
85	120	1284
86	122	1282
87	123	1278
88	124	1277
89	126	1274
90	127	1273
91	128	1270
92	129	1267
93	131	1264
94	132	1262
95	133	1261
96	135	1261
97	136	1259
98	138	1256
99	139	1255
100	140	1253
101	142	1253
102	143	1251
103	145	1250
104	146	1250
105	147	1247
106	149	1244
107	150	1242
108	151	1240
109	153	1239
110	154	1239
111	156	1237
112	157	1235
113	158	1233
114	159	1231
115	161	1228
116	162	1225
117	163	1223
118	165	1222
119	166	1222
120	167	1220
121	169	1217
122	170	1216
123	171	1213
124	173	1212
125	174	1211
126	175	1209
127	177	1206
128	178	1205
129	179	1203
130	181	1201
131	182	1199
132	183	1198
133	185	1201
134	187	1200
135	188	1198
136	190	1197
137	191	1195
138	192	1194
139	194	1193
140	195	1192
141	197	1190
142	198	1188
143	199	1186
144	200	1184
145	202	1181
146	203	1180
147	204	1179
148	206	1178
149	207	1176
150	208	1174
151	210	1172
152	211	1171
153	213	1171
154	214	1167
155	215	1165
156	216	1164
157	218	1162
158	219	1160
159	221	1160
160	222	1158
161	223	1156
162	224	1154
163	226	1152
164	227	1151
165	229	1155
166	231	1154
167	231	1148
168	233	1146
169	234	1144
170	235	1143
171	237	1141
172	238	1139
173	239	1137
174	240	1135
175	242	1133
176	243	1133
177	245	1131
178	246	1130
179	247	1128
180	248	1126
181	250	1124
182	251	1122
183	252	1121
184	254	1119
185	255	1117
186	256	1115
187	258	1114
188	259	1113
189	260	1112
190	262	1110
191	263	1108
192	264	1107
193	266	1106
194	267	1104
195	268	1102
196	269	1100
197	271	1098
198	272	1097
199	273	1095
200	275	1094
201	276	1092
202	277	1091
203	279	1089
204	280	1088
205	282	1088
206	283	1086
207	285	1085
208	286	1083
209	287	1082
210	288	1080
211	290	1078
212	291	1076
213	293	1076
214	294	1074
215	295	1072
216	296	1071
217	298	1069
218	299	1069
219	301	1068
220	302	1066
221	303	1064
222	305	1063
223	306	1062
224	307	1060
225	309	1059
226	310	1057
227	311	1055
228	313	1054
229	314	1054
230	316	1052
231	317	1051
232	318	1049
233	320	1048
234	321	1046
235	322	1045
236	324	1044
237	325	1043
238	327	1042
239	328	1041
240	330	1039
241	331	1038
242	332	1037
243	334	1035
244	335	1035
245	337	1033
246	338	1031
247	339	1029
248	340	1028
249	342	1027
250	343	1026
251	345	1024
252	346	1022
253	347	1020
254	348	1019
255	350	1017
256	351	1016
257	352	1014
258	354	1013
259	355	1011
260	356	1009
261	357	1008
262	359	1006
263	360	1005
264	361	1003
265	363	1002
266	364	1000
267	365	999
268	367	997
269	368	996
